variant,event_date,event_name,compound,tyre_life,observed,predicted
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,28,-1.5660000000000025,1.7712121688179816
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,29,-1.4240000000000066,1.7712121688179816
hgb_raw,2025-03-23,Chinese Grand Prix,MEDIUM,30,-1.152000000000001,1.7712121688179816
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,2,-1.4373571428571432,2.1636374687648527
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,3,-1.1885000000000001,2.2104630366647466
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,4,-1.6123888888888886,2.177516440291603
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,5,-1.6843333333333332,2.1488984390277786
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,6,-1.7361666666666662,2.100949709419615
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,7,-1.902526315789475,2.065375222777433
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,8,-1.90075,2.0771774410432693
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,9,-2.0030500000000004,2.0631664837030397
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,10,-2.149526315789474,2.022523048286341
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,11,-2.12611111111111,1.9424148555208278
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,12,-2.273666666666666,1.8831101325391302
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,13,-2.3275555555555556,1.7964914190648444
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,14,-2.3219999999999996,1.755771871871585
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,15,-2.310944444444445,1.695752170821569
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,16,-2.3139444444444432,1.6506534800675532
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,17,-2.3846111111111106,1.5921502213974739
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,18,-2.2292222222222224,1.5762403725158551
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,19,-2.4218333333333337,1.5340634841496494
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,20,-2.535777777777778,1.5192653420940938
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,21,-2.5655555555555543,1.5109506052144273
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,22,-2.602823529411765,1.4545021713652215
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,23,-2.6331250000000006,1.4544901820502776
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,24,-2.6033125000000004,1.4544901820502776
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,25,-2.7294374999999995,1.4544901820502776
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,26,-2.6621249999999996,1.4544901820502776
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,27,-2.5889999999999986,1.4457661274982199
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,28,-2.7854374999999996,1.43351358222306
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,29,-2.6582666666666652,1.4282731136513318
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,30,-2.6418333333333344,1.4144248268001405
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,31,-2.9034444444444443,1.3763024387909104
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,32,-3.021714285714286,1.3508826516457464
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,33,-3.175000000000002,1.3055562690517173
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,34,-2.761499999999998,1.2990109286608833
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,35,-1.1290000000000049,1.384571693798984
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,36,-2.0600000000000023,1.384571693798984
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,37,-2.024000000000001,1.384571693798984
hgb_raw,2025-04-06,Japanese Grand Prix,HARD,38,-2.0400000000000063,1.384571693798984
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,2,-0.33064705882352996,2.39326605095619
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,3,-0.8587368421052626,2.3685539349153784
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,4,-0.9973684210526325,2.3572378459767465
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,5,-0.9884736842105244,2.33457633388022
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,6,-0.9265789473684205,2.310812272650581
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,7,-0.9873684210526333,2.2906609761577843
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,8,-1.1319999999999997,2.2783152956551977
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,9,-1.1665263157894739,2.276854931769569
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,10,-1.2583684210526318,2.286060911020337
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,11,-1.1826842105263145,2.286060911020337
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,12,-1.2379999999999989,2.286060911020337
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,13,-1.3108947368421067,2.286060911020337
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,14,-1.2543684210526307,2.2800075926929693
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,15,-1.2910526315789468,2.2788345380056008
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,16,-0.9535789473684207,2.2788345380056008
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,17,-1.2753684210526302,2.231562653795074
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,18,-1.3136315789473716,2.228186090637179
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,19,-1.369944444444444,2.0880303514371845
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,20,-1.3722941176470593,2.062577967114837
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,21,-1.311785714285715,2.0680069116953557
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,22,-0.7810833333333337,2.073732604212976
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,23,-1.4324444444444424,2.1461959758772173
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,24,-1.0247999999999962,2.3715728828478837
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,25,-1.2850000000000013,2.321665088410017
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,26,-1.0466666666666622,2.321665088410017
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,27,-1.1896666666666722,2.2740645986500567
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,28,-1.2633333333333308,2.1703174169833903
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,29,-1.2326666666666644,2.1703174169833903
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,30,-0.5020000000000001,2.1703174169833903
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,31,0.10499999999999687,2.1343280635021236
hgb_raw,2025-04-06,Japanese Grand Prix,MEDIUM,32,-0.11999999999999746,1.9889680635021245
hgb_raw,2025-04-06,Japanese Grand Prix,SOFT,2,-0.5649999999999977,2.1585009485684745
hgb_raw,2025-04-06,Japanese Grand Prix,SOFT,3,-1.0927500000000023,2.0836683166514742
hgb_raw,2025-04-06,Japanese Grand Prix,SOFT,4,-1.1529999999999987,2.021883296651475
