variant,fold,split,n_features,degradation_slope_error,mae,mse,rmse,runtime_seconds
hgb_track_pca4,2023-11-26::Abu Dhabi Grand Prix,development,28,0.2573872791329418,1.264730219498791,8.659750543605414,2.942745409240394,1.2990174549631774
hgb_raw,2024-03-02::Bahrain Grand Prix,development,37,0.1373971191831385,1.3698993788138296,2.7309403739047085,1.652555709773413,1.3782354770228267
hgb_track_pca4,2024-03-02::Bahrain Grand Prix,development,28,0.15852689354854851,1.412553856310441,2.6101422648703148,1.6155934714123832,1.28930408495944
hgb_raw,2024-03-09::Saudi Arabian Grand Prix,development,37,0.033161593447273575,1.3236538547386036,5.719759547669429,2.39160187900692,1.3970844169380143
hgb_track_pca4,2024-03-09::Saudi Arabian Grand Prix,development,28,0.03564175661689182,1.3163583276069484,5.711406629151793,2.389854938934954,1.2415088070556521
hgb_raw,2024-03-24::Australian Grand Prix,development,37,0.2101678264875002,2.1154050919998246,21.05502469186477,4.588575453434842,1.8083613970084116
hgb_track_pca4,2024-03-24::Australian Grand Prix,development,28,0.21132888219627313,2.00303029917837,20.75237068209076,4.555476998305529,1.8024338349932805
hgb_raw,2024-04-07::Japanese Grand Prix,development,37,0.0686716661014878,0.9888142115905153,1.6052669454927342,1.266991296533932,1.9920342500554398
hgb_track_pca4,2024-04-07::Japanese Grand Prix,development,28,0.047574982136520456,0.9660936593099119,1.4606736051301283,1.2085833050022363,1.521977950935252
hgb_raw,2024-04-21::Chinese Grand Prix,development,37,0.04227348285726746,2.1988273256422297,5.809120377992278,2.4102116873818944,1.5991620679851621
hgb_track_pca4,2024-04-21::Chinese Grand Prix,development,28,0.04501719017255088,1.985593667207447,4.841296408657556,2.2002946186039622,1.5325805919710547
hgb_raw,2024-05-05::Miami Grand Prix,development,37,0.013659995456356286,1.1423106385416066,1.7857776512954604,1.3363299185812838,1.5383624220266938
hgb_track_pca4,2024-05-05::Miami Grand Prix,development,28,0.013461425135765209,1.136449542461705,1.7861575944038197,1.3364720701921982,1.3694377270294353
hgb_raw,2024-05-19::Emilia Romagna Grand Prix,development,37,0.10912731273917357,1.1633813169006417,3.1080530212921214,1.7629671072632414,1.576297877007164
hgb_track_pca4,2024-05-19::Emilia Romagna Grand Prix,development,28,0.11675033800949132,1.2678109305407466,3.4144619662224485,1.8478262813972661,1.6985606959788129
hgb_raw,2024-05-26::Monaco Grand Prix,development,37,0.04754234109558716,2.8724962476345177,23.67733479681936,4.8659361685927776,1.6136155609274283
hgb_track_pca4,2024-05-26::Monaco Grand Prix,development,28,0.03533181850728776,2.8093259488886964,23.225376902756746,4.819271407874508,1.5388515830272809
hgb_raw,2024-06-09::Canadian Grand Prix,development,37,0.18185445990624743,4.583936155006178,42.09098226858203,6.48775633548163,1.8448217150289565
hgb_track_pca4,2024-06-09::Canadian Grand Prix,development,28,0.20562071015528693,4.866423154504678,45.463455091198185,6.742659348595195,1.3568471489707008
hgb_raw,2024-06-23::Spanish Grand Prix,development,37,0.03286353032968315,2.522707596750694,9.139262634224059,3.023121339646171,1.912280124030076
hgb_track_pca4,2024-06-23::Spanish Grand Prix,development,28,0.05109903175246181,1.3688279562866932,3.4194201036003515,1.8491674082138565,1.4545314359711483
hgb_raw,2024-06-30::Austrian Grand Prix,development,37,0.22677693965803566,0.7145922090013367,0.83655521727512,0.914633925281104,1.7590789359528571
hgb_track_pca4,2024-06-30::Austrian Grand Prix,development,28,0.22261713682412176,0.7136848872525569,0.8389468249921561,0.915940404716462,1.5253271330147982
hgb_raw,2024-07-07::British Grand Prix,development,37,0.1731969645318692,2.4430499225724236,11.428313918739196,3.3805789324817126,2.7015740659553558
