Compound,TyreLife,LapTimeDelta,prediction
MEDIUM,38.0,0.4262999999999998,1.6676679545129083
MEDIUM,39.0,0.367941176470588,1.6995110746346893
MEDIUM,40.0,0.5646153846153837,1.6201526635435366
MEDIUM,41.0,1.0143,1.8084123023076082
MEDIUM,42.0,0.3197777777777777,1.7328936380316609
MEDIUM,43.0,0.4910000000000012,1.7328936380316609
MEDIUM,44.0,-0.27100000000000085,1.5291503670052955
MEDIUM,45.0,0.8375000000000021,1.7636160879812057
MEDIUM,46.0,1.6298571428571438,1.8234664960880376
MEDIUM,47.0,1.879000000000001,1.8234664960880376
MEDIUM,48.0,1.0606000000000022,1.78788222566126
MEDIUM,49.0,0.8832500000000039,1.8280410979709807
MEDIUM,50.0,0.12700000000000006,1.7999124065763141
MEDIUM,51.0,1.2085000000000008,1.6413506749869815
MEDIUM,52.0,1.144999999999996,1.6413506749869815
MEDIUM,53.0,0.6629999999999967,2.1170358697549796
MEDIUM,54.0,-0.2519999999999953,2.1170358697549796
MEDIUM,55.0,-0.5729999999999933,2.1170358697549796
MEDIUM,56.0,-0.644999999999996,2.1170358697549796
MEDIUM,57.0,-0.6350000000000051,2.1170358697549796
MEDIUM,58.0,-0.2009999999999934,2.1170358697549796
MEDIUM,59.0,1.2240000000000038,2.1170358697549796
SOFT,2.0,0.4499424460431653,1.752689354190435
SOFT,3.0,0.7457575757575753,1.8349728026755256
SOFT,4.0,0.38804799999999984,1.8196813806376333
SOFT,5.0,0.3360366972477062,1.7982508707195803
SOFT,6.0,1.135216494845361,1.8115888277978214
SOFT,7.0,0.9542488262910799,1.7670244743143855
SOFT,8.0,0.7444829059829061,1.7391722540307895
SOFT,9.0,0.5405675675675669,1.7175879880158993
SOFT,10.0,0.7810045248868775,1.7245227191888548
SOFT,11.0,0.8328564814814814,1.7335135457157393
SOFT,12.0,0.7952791878172589,1.7092332867332796
SOFT,13.0,0.6264426229508204,1.6991350284211824
SOFT,14.0,0.44961904761904786,1.699245125945722
SOFT,15.0,0.7616153846153849,1.7281397897460127
SOFT,16.0,0.6863538461538465,1.7235534700500672
SOFT,17.0,0.6918983050847455,1.7012131101416461
SOFT,18.0,0.5403619047619046,1.6589314226881346
SOFT,19.0,0.44254255319148894,1.544410170789992
SOFT,20.0,0.27640963855421696,1.513645286281302
SOFT,21.0,0.2647631578947374,1.4808612478072092
SOFT,22.0,0.21540909090909088,1.4061266521011526
